642, 2589, 3.0, 964983200
789, 3791, 4.0, 964983210
556, 4862, 2.5, 964983220
612, 5930, 3.5, 964983230
478, 5274, 4.0, 964983240
934, 5882, 3.0, 964983250
523, 5210, 4.5, 964983260
678, 4357, 3.5, 964983270
845, 4024, 4.0, 964983280
501, 3156, 4.5, 964983290
732, 1287, 3.0, 964983300
865, 2398, 4.0, 964983310
940, 1743, 3.5, 964983320
593, 1590, 4.0, 964983330
667, 1630, 3.5, 964983340
715, 1729, 4.0, 964983350
558, 1830, 4.5, 964983360
622, 1945, 3.5, 964983370
810, 2056, 4.0, 964983380
690, 2134, 4.5, 964983390
756, 2247, 3.5, 964983400
820, 2389, 4.0, 964983410
580, 2450, 3.5, 964983420
610, 2578, 4.0, 964983430
695, 2684, 4.5, 964983440
750, 2790, 3.0, 964983450
800, 2831, 4.0, 964983460
630, 2967, 3.5, 964983470
710, 3021, 4.0, 964983480
590, 3150, 4.5, 964983490
680, 3278, 3.0, 964983500
770, 3321, 4.0, 964983510
880, 3467, 3.5, 964983520
540, 3589, 4.0, 964983530
600, 3690, 4.5, 964983540
650, 3752, 3.0, 964983550
720, 3876, 4.0, 964983560
790, 3921, 3.5, 964983570
860, 4050, 4.0, 964983580
830, 4189, 4.5, 964983590
900, 4234, 3.0, 964983600
560, 4367, 4.0, 964983610
615, 4450, 3.5, 964983620
685, 4589, 4.0, 964983630
725, 4670, 4.5, 964983640
740, 4782, 3.0, 964983650
775, 4893, 4.0, 964983660
815, 4950, 3.5, 964983670
850, 5012, 4.0, 964983680
537, 2589, 4.5, 964983690
