537, F, 25, 10, 48067
642, M, 30, 15, 12345
789, F, 22, 7, 67890
556, M, 35, 12, 54321
612, F, 28, 10, 98765
478, M, 40, 20, 13579
934, F, 32, 5, 24680
523, M, 27, 10, 11223
678, F, 19, 15, 44556
845, M, 50, 20, 77889
501, F, 23, 7, 99001
732, M, 31, 10, 22334
865, F, 26, 15, 55667
940, M, 29, 12, 88990
593, F, 34, 10, 33445
667, M, 37, 20, 66778
715, F, 21, 5, 11220
558, M, 45, 10, 22335
622, F, 33, 15, 33456
810, M, 38, 12, 44567
690, F, 24, 10, 55678
756, M, 39, 20, 66789
820, F, 20, 5, 77890
580, M, 36, 10, 88901
610, F, 28, 15, 99012
695, M, 41, 12, 10101
750, F, 27, 10, 20202
800, M, 30, 20, 30303
630, F, 26, 5, 40404
710, M, 33, 10, 50505
590, F, 22, 15, 60606
680, M, 35, 12, 70707
770, F, 29, 10, 80808
880, M, 40, 20, 90909
540, F, 31, 5, 10110
600, M, 38, 10, 20220
650, F, 24, 15, 30330
720, M, 28, 12, 40440
790, F, 33, 10, 50550
860, M, 37, 20, 60660
830, F, 26, 5, 70770
900, M, 29, 10, 80880
560, F, 34, 15, 90990
615, M, 42, 12, 11234
685, F, 30, 10, 22345
725, M, 39, 20, 33456
740, F, 27, 5, 44567
775, M, 31, 10, 55678
815, F, 22, 15, 66789
850, M, 36, 12, 77890
