537, 1043, 4.0, 964982703
642, 3791, 3.5, 964982710
789, 4862, 5.0, 964982720
556, 5930, 4.5, 964982730
612, 5274, 3.0, 964982740
478, 5882, 4.0, 964982750
934, 5210, 2.5, 964982760
523, 4357, 4.5, 964982770
678, 4024, 3.0, 964982780
845, 3156, 4.0, 964982790
501, 1287, 5.0, 964982800
732, 2398, 3.5, 964982810
865, 1743, 4.5, 964982820
940, 1590, 4.0, 964982830
593, 1630, 3.0, 964982840
667, 1729, 4.5, 964982850
715, 1830, 2.0, 964982860
558, 1945, 3.5, 964982870
622, 2056, 4.0, 964982880
810, 2134, 5.0, 964982890
690, 2247, 3.5, 964982900
756, 2389, 4.0, 964982910
820, 2450, 4.5, 964982920
580, 2578, 3.0, 964982930
610, 2684, 4.0, 964982940
695, 2790, 4.5, 964982950
750, 2831, 3.0, 964982960
800, 2967, 5.0, 964982970
630, 3021, 3.5, 964982980
710, 3150, 4.0, 964982990
590, 3278, 4.5, 964983000
680, 3321, 3.0, 964983010
770, 3467, 4.0, 964983020
880, 3589, 4.5, 964983030
540, 3690, 3.0, 964983040
600, 3752, 5.0, 964983050
650, 3876, 4.0, 964983060
720, 3921, 3.5, 964983070
790, 4050, 4.5, 964983080
860, 4189, 4.0, 964983090
830, 4234, 3.0, 964983100
900, 4367, 5.0, 964983110
560, 4450, 4.5, 964983120
615, 4589, 3.0, 964983130
685, 4670, 4.0, 964983140
725, 4782, 4.5, 964983150
740, 4893, 3.0, 964983160
775, 4950, 5.0, 964983170
815, 5012, 4.0, 964983180
850, 1043, 4.5, 964983190
